LANGUAGE_EN,description,English,French,Spanish,German,Italian,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Arabic,Bosnian
csv2hpp_config_key_start=LOQOLIZER_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyglot,(don't delete this line),(anything before this line will be parsed as csv but ignored),,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_LABEL_LANGUAGE,Language Select tab label,Language,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_MENU_TITLE,Mod menu title at left,Mod Language,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_APPLY_NOW,button title,Apply Now,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_TEXT_KEPT,a text hint,Some text will not changed until you restart game.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_EMBBED_DATA_TITLE,title of embbed data list view,Embbed Datas:,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_FOLLOW_GAME,the first option in language select dropdown,Follow Game,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_TRANSLATE_LOADED,display if a mod's translate is loaded,[loaded],,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_TRANSLATE_NOT_LOADED,display if a mod's translate is not loaded,[not loaded],,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_ENABLE_GAME_LOCALIZE,a toggle title,Enable Game Localize,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_ENABLE_GAME_LOCALIZE_HINT,hover hint,"Turn off this will disable game localize, but mod localize still works.",,,,,,,,,,,,,,,,,,,,,,,,,,,
LOQOLIZER_SETTHING_HINT_RESTART_REQUIRED,,*Game Restart Required,,,,,,,,,,,,,,,,,,,,,,,,,,,
